;---------------------------------------------------,
;単体エンド雛形,
;XXをキャラ番号に置換、最後の行（○○エンドの行）に1を加えた数を口上ファイルのYYに置換してください,
;さらにエンド部分をStr.csv（できれば既存のエンドがすべて入ったもの）にエンド部分を加えれば、エンディングの追加は終了です。,
;既存のエンドがすべて入ったStrにすることで、導入の際にStr.csvの上書きのみで済むためネタバレが避けれます,
;---------------------------------------------------,

;---------------------------------------------------,
;○○エンド,
;---------------------------------------------------,
1XX00,―――単体エンド条件達成―――
1XX01,…………
1XX02,………
1XX03,……
,以降、エンディングの内容

,　　　　　　　　―― Ending No.1XX (○○エンド)






;例,
;---------------------------------------------------,
;紫エンド　この場合は、XXを22にし、YYを20+1、つまり21にする,
;---------------------------------------------------,
12200,―――単体エンド条件達成―――
12201,…………
12202,………
12203,……
12204,ここからエンディング
12205,
12206,
12207,
12208,
12209,
12210,
12211,
12212,
12213,
12214,
12215,
12216,
12217,
12218,ここまでエンディング
12219,
12220,　　　　　　　　―― Ending No.122 (紫エンド)
