番号,34,
名前,ストゥーナ,
呼び名,ストゥーナ,
基礎,体力,3000
基礎,気力,1500
基礎,種族,34
基礎,種族思考,34
素質,高傲,
素質,自大,
素質,强硬,
素質,坏心眼,
素質,好奇心,
素質,底线明确,
素質,不重贞操,
素質,不知羞耻,
素質,耐痛,
素質,粗野,
素質,呕吐反射耐性,
素質,药物耐性,
素質,污臭钝感,
素質,高挑体型,
素質,Ｂ敏感,
素質,巨乳,2
素質,回复快,
素質,尾巴,7
素質,怪力,
素質,耳形,
素質,上位梦魔,
素質,精强术,
素質,防强术,
素質,回复术,
素質,小根术,7
能力,欲望,3
能力,技巧,2
能力,Ｃ感觉,2
能力,Ｖ感觉,1
能力,侍奉精神,1
能力,精液上瘾,3
能力,Ｂ感觉,1
能力,施虐倾向,3
経験,Ｖ经验,100
経験,绝顶经验,2
経験,Ｖ性交经验,70
経験,精液经验,200
経験,口交经验,180
経験,手淫经验,100
経験,腰技经验,60
経験,乳交经验,50
経験,Ａ刺激经验,25
経験,舔阴经验,10
経験,嗜虐快乐经验,60
経験,百合经验,40
経験,亲吻经验,25
;フラグ,10,1
相性,35,200
