番号,58,
名前,マーチヘア,
呼び名,マーチヘア,
基礎,体力,2000
基礎,气力,1200
基礎,种族,58
基礎,种族思考,58
素質,刚强,
;素質,高傲,
素質,自大,
素質,好奇心,
素質,开朗,
素質,底线明确,
;素質,喜欢被关注,
素質,不重贞操,
素質,不知羞耻,
素質,容易湿,
;素質,爱自慰,
素質,污臭敏感,
素質,承认快感,
素質,好色,
素質,讨厌男性,
素質,性变态,
素質,魅惑,
素質,Ａ敏感,
素質,日光浴,
素質,狂气,
素質,兽耳,4
素質,禁忌知识,
素質,尾巴,4
素質,梦魔,
能力,欲望,2
能力,Ａ感觉,2
能力,百合倾向,1
;能力,欲望2,1
経験,Ｖ经验,5
経験,Ａ经验,20
経験,绝顶经验,20
経験,自慰经验,10
経験,Ｖ性交经验,10
経験,Ａ性交经验,1
経験,精液经验,5
経験,侍奉快乐经验,10
経験,口交经验,5
経験,手淫经验,2
経験,腰技经验,5
経験,舔阴经验,10
経験,被虐快乐经验,10
経験,百合经验,20
経験,异常经验,1
相性,23,120
;フラグ,10,1

