番号,35,
名前,メローナ,
呼び名,メローナ,
基礎,体力,3000
基礎,气力,1500
基礎,种族,35
基礎,种族思考,35
素質,好奇心,
素質,开朗,
素質,不重贞操,
素質,容易湿,
素質,药物耐性,
素質,污臭钝感,
素質,承认快感,
素質,魅惑,
素質,高挑体型,
素質,Ａ敏感,
素質,巨乳,2
素質,回复快,
素質,鼓舞,
素質,尾巴,7
素質,上位梦魔,
素質,回复术,
能力,欲望,3
能力,技巧,3
能力,Ｃ感觉,2
能力,Ｖ感觉,1
能力,Ａ感觉,2
能力,侍奉精神,2
能力,精液上瘾,3
能力,Ｂ感觉,1
能力,Ｍ感觉,1
経験,Ｖ经验,100
経験,Ａ经验,50
経験,绝顶经验,2
経験,Ｖ性交经验,50
経験,Ａ性交经验,3
経験,精液经验,200
経験,侍奉快乐经验,70
経験,口交经验,100
経験,手淫经验,50
経験,腰技经验,10
経験,乳交经验,30
経験,舔阴经验,20
経験,百合经验,40
経験,亲吻经验,80
;フラグ,10,1
相性,34,200

