番号,21,
名前,ルシフェル,
呼び名,ルシフェル,
基礎,体力,2100
基礎,気力,1200
基礎,種族,21
基礎,種族思考,21
素質,高慢,
素質,強気,
素質,貞操無頓着,
素質,恥薄い,
素質,賢い,
素質,汚臭敏感,
素質,好色,
素質,倒錯的,
素質,小悪魔,
素質,Ａ敏感,
素質,Ｂ敏感,
素質,巨乳,
素質,魅力,
素質,治療,
素質,具現,
素質,翼,12
素質,肌の色,1
素質,上位夢魔,
素質,バインド,1
能力,欲望,3
能力,技巧,4
能力,Ｃ感覚,2
能力,Ｖ感覚,2
能力,Ａ感覚,2
能力,精液中毒,1
能力,Ｂ感覚,2
能力,サドっ気,2
能力,Ｍ感覚,2
経験,Ｖ経験,50
経験,Ａ経験,20
経験,絶頂経験,15
経験,Ｖ性交経験,30
経験,Ａ性交経験,10
経験,Ｖ挿入経験,2
経験,精液経験,10
経験,奉仕快楽経験,20
経験,フェラ経験,25
経験,手淫経験,40
経験,足コキ経験,15
経験,腰使い経験,20
経験,パイズリ経験,20
経験,Ａ責め経験,3
経験,クンニ経験,10
経験,嗜虐快楽経験,30
経験,レズ経験,30
経験,キス経験,21
相性,20,150
;フラグ,10,1
