番号,41,
名前,ジャバウォック,
呼び名,ジャバウォック,
基礎,体力,2300
基礎,気力,1600
基礎,種族,41
基礎,種族思考,41
素質,強気,
素質,意地悪,
素質,貞操無頓着,
素質,痛みに強い,
素質,汚臭敏感,
素質,快感に素直,
素質,両刀,
素質,Ｍ敏感,
素質,回復早い,
素質,しっぽ,8
;素質,魔法使い,
;素質,ツノ,8
素質,力持ち,
素質,動物足,8
素質,肌の色,1
素質,耳の形,
素質,夢魔,
素質,ウルズグン,
素質,バインド,9
素質,アルスグン,
能力,欲望,2
能力,技巧,1
能力,Ｃ感覚,2
能力,レズっ気,1
能力,精液中毒,1
能力,サドっ気,1
能力,Ｍ感覚,2
経験,Ｖ経験,50
経験,絶頂経験,20
経験,Ｖ性交経験,40
経験,精液経験,60
経験,フェラ経験,10
経験,手淫経験,10
経験,足コキ経験,15
経験,腰使い経験,45
経験,パイズリ経験,5
経験,レズ経験,5
;フラグ,10,1
相性,23,110
相性,42,120
相性,43,120
