番号,58,
名前,マーチヘア,
呼び名,マーチヘア,
基礎,体力,2000
基礎,気力,1200
基礎,種族,58
基礎,種族思考,58
素質,気丈,
;素質,高慢,
素質,生意気,
素質,好奇心,
素質,陽気,
素質,一線越えない,
;素質,目立ちたがり,
素質,貞操無頓着,
素質,恥薄い,
素質,濡れやすい,
;素質,自慰しやすい,
素質,汚臭敏感,
素質,快感に素直,
素質,好色,
素質,男嫌い,
素質,倒錯的,
素質,魅惑,
素質,Ａ敏感,
素質,日光浴,
素質,狂気,
素質,動物耳,4
素質,禁断の知識,
素質,しっぽ,4
素質,夢魔,
能力,欲望,2
能力,Ａ感覚,2
能力,レズっ気,1
;能力,欲望2,1
経験,Ｖ経験,5
経験,Ａ経験,20
経験,絶頂経験,20
経験,自慰経験,10
経験,Ｖ性交経験,10
経験,Ａ性交経験,1
経験,精液経験,5
経験,奉仕快楽経験,10
経験,フェラ経験,5
経験,手淫経験,2
経験,腰使い経験,5
経験,クンニ経験,10
経験,被虐快楽経験,10
経験,レズ経験,20
経験,異常経験,1
相性,23,120
;フラグ,10,1

