番号,25,
名前,ヴァンパイア,
呼び名,ヴァンパイア,
基礎,体力,2500
基礎,気力,1400
基礎,種族,25
基礎,種族思考,25
素質,高慢,
素質,貞操無頓着,
素質,恥薄い,
素質,痛みに強い,
素質,濡れやすい,
素質,気品,
素質,賢い,
素質,汚臭鈍感,
素質,快感に素直,
素質,両刀,
素質,魅惑,
素質,長身,
素質,Ｂ敏感,
素質,巨乳,
素質,魅力,
素質,吸血鬼,
素質,月光浴,
素質,鼓舞,
素質,夢魔,
能力,欲望,1
能力,技巧,2
能力,Ｃ感覚,1
能力,Ｖ感覚,2
能力,レズっ気,2
能力,精液中毒,1
能力,Ｂ感覚,2
経験,Ｖ経験,50
経験,Ａ経験,3
経験,絶頂経験,40
経験,自慰経験,10
経験,Ｖ性交経験,20
経験,精液経験,35
経験,奉仕快楽経験,20
経験,フェラ経験,30
経験,手淫経験,10
経験,腰使い経験,5
経験,クンニ経験,30
経験,レズ経験,50
経験,キス経験,40
相性,24,120
;フラグ,10,1

