番号,48,
名前,エスト,
呼び名,エスト,
基礎,体力,3500
基礎,気力,2000
基礎,種族,48
基礎,種族思考,48
素質,強気,
素質,冷静,
素質,好奇心,
素質,貞操無頓着,
素質,汚れ無視,
素質,快感に素直,
素質,好色,
素質,倒錯的,
素質,両刀,
素質,魅惑,
素質,長身,
素質,Ｖ敏感,
素質,巨乳,2
素質,回復早い,
素質,魅力,
素質,禁断の知識,
素質,魔法使い,
素質,ツノ,6
素質,耳の形,
素質,上位夢魔,2
能力,欲望,2
能力,技巧,5
能力,Ｃ感覚,2
能力,Ｖ感覚,2
能力,Ａ感覚,1
能力,奉仕精神,2
能力,露出癖,1
能力,マゾっ気,1
能力,レズっ気,2
能力,精液中毒,2
能力,Ｂ感覚,1
能力,サドっ気,1
経験,Ｖ経験,150
経験,Ａ経験,20
経験,自慰経験,10
経験,Ｖ性交経験,120
経験,Ａ性交経験,5
経験,Ｖ挿入経験,5
経験,Ａ挿入経験,1
経験,精液経験,400
経験,フェラ経験,80
経験,手淫経験,100
経験,足コキ経験,30
経験,腰使い経験,100
経験,パイズリ経験,50
経験,Ａ責め経験,20
経験,クンニ経験,30
経験,レズ経験,100
経験,キス経験,80
;フラグ,10,1
