番号,35,
名前,メローナ,
呼び名,メローナ,
基礎,体力,3000
基礎,気力,1500
基礎,種族,35
基礎,種族思考,35
素質,好奇心,
素質,陽気,
素質,貞操無頓着,
素質,濡れやすい,
素質,薬毒耐性,
素質,汚臭鈍感,
素質,快感に素直,
素質,魅惑,
素質,長身,
素質,Ａ敏感,
素質,巨乳,2
素質,回復早い,
素質,鼓舞,
素質,しっぽ,7
素質,上位夢魔,
素質,ロギン,
能力,欲望,3
能力,技巧,3
能力,Ｃ感覚,2
能力,Ｖ感覚,1
能力,Ａ感覚,2
能力,奉仕精神,2
能力,精液中毒,3
能力,Ｂ感覚,1
能力,Ｍ感覚,1
経験,Ｖ経験,100
経験,Ａ経験,50
経験,絶頂経験,2
経験,Ｖ性交経験,50
経験,Ａ性交経験,3
経験,精液経験,200
経験,奉仕快楽経験,70
経験,フェラ経験,100
経験,手淫経験,50
経験,腰使い経験,10
経験,パイズリ経験,30
経験,クンニ経験,20
経験,レズ経験,40
経験,キス経験,80
;フラグ,10,1
相性,34,200

