番号,50,
名前,ステラ,
呼び名,ステラ,
基礎,体力,2400
基礎,気力,1100
基礎,種族,50
基礎,種族思考,50
能力,欲望,2
能力,技巧,2
能力,Ｃ感覚,2
能力,Ｖ感覚,2
能力,自慰中毒,2
能力,精液中毒,2
能力,サドっ気,1
経験,Ｖ経験,160
経験,Ａ経験,20
経験,絶頂経験,5
経験,自慰経験,200
経験,Ｖ性交経験,80
経験,精液経験,300
経験,フェラ経験,200
経験,手淫経験,150
経験,足コキ経験,40
経験,腰使い経験,70
経験,パイズリ経験,70
経験,Ａ責め経験,20
素質,生意気
素質,好奇心,
素質,陽気,
素質,貞操無頓着,
素質,恥薄い,
素質,濡れやすい,
素質,愚か,
素質,薬毒耐性,
素質,汚臭鈍感,
素質,快感に素直,
素質,中毒しやすい,
素質,小悪魔,
素質,小柄体型,
素質,Ｃ敏感,
素質,Ｖ敏感,
素質,回復早い,
素質,幼稚,
素質,魔法使い,
素質,ツノ,6
素質,耳の形,
素質,オモチャになっちゃえ,
素質,上位夢魔,2
;フラグ,10,1

